<2012-07-07 15:41:44 +0800> c-return DataManager:119 Dir glob
<2012-07-07 15:41:44 +0800>     line Window_Base:74 Window_Base create_contents
<2012-07-07 15:41:44 +0800>     call Window_Base:48 Window_Base contents_width
<2012-07-07 15:41:44 +0800>     line Window_Base:49 Window_Base contents_width
<2012-07-07 15:41:44 +0800>   c-call Window_Base:49 Window width
<2012-07-07 15:41:44 +0800> c-return Window_Base:49 Window width
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:50 Window_Base contents_width
<2012-07-07 15:41:44 +0800>     call Window_Selectable:67 Window_Selectable contents_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:68 Window_Selectable contents_height
<2012-07-07 15:41:44 +0800>     call Window_Base:54 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     line Window_Base:55 Window_Base contents_height
<2012-07-07 15:41:44 +0800>   c-call Window_Base:55 Window height
<2012-07-07 15:41:44 +0800> c-return Window_Base:55 Window height
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:56 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     call Window_Base:54 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     line Window_Base:55 Window_Base contents_height
<2012-07-07 15:41:44 +0800>   c-call Window_Base:55 Window height
<2012-07-07 15:41:44 +0800> c-return Window_Base:55 Window height
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:56 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     call Window_Selectable:55 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:56 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Base:30 Window_Base line_height
<2012-07-07 15:41:44 +0800>     line Window_Base:31 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Base:32 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Selectable:57 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Selectable:61 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:62 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:62 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     call Window_Command_2:42 Window_Command item_max
<2012-07-07 15:41:44 +0800>     line Window_Command_2:43 Window_Command item_max
<2012-07-07 15:41:44 +0800>   return Window_Command_2:44 Window_Command item_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:62 Enumerable max
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:62 Array each
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:62 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:62 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:62 Array each
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:62 Enumerable max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:63 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:55 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:56 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Base:30 Window_Base line_height
<2012-07-07 15:41:44 +0800>     line Window_Base:31 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Base:32 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Selectable:57 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:68 Enumerable max
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:68 Array each
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:68 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:68 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:68 Array each
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:68 Enumerable max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:69 Window_Selectable contents_height
<2012-07-07 15:41:44 +0800>     line Window_Base:75 Window_Base create_contents
<2012-07-07 15:41:44 +0800>     call Window_Base:48 Window_Base contents_width
<2012-07-07 15:41:44 +0800>     line Window_Base:49 Window_Base contents_width
<2012-07-07 15:41:44 +0800>   c-call Window_Base:49 Window width
<2012-07-07 15:41:44 +0800> c-return Window_Base:49 Window width
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:50 Window_Base contents_width
<2012-07-07 15:41:44 +0800>     call Window_Selectable:67 Window_Selectable contents_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:68 Window_Selectable contents_height
<2012-07-07 15:41:44 +0800>     call Window_Base:54 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     line Window_Base:55 Window_Base contents_height
<2012-07-07 15:41:44 +0800>   c-call Window_Base:55 Window height
<2012-07-07 15:41:44 +0800> c-return Window_Base:55 Window height
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:56 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     call Window_Base:54 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     line Window_Base:55 Window_Base contents_height
<2012-07-07 15:41:44 +0800>   c-call Window_Base:55 Window height
<2012-07-07 15:41:44 +0800> c-return Window_Base:55 Window height
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:56 Window_Base contents_height
<2012-07-07 15:41:44 +0800>     call Window_Selectable:55 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:56 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Base:30 Window_Base line_height
<2012-07-07 15:41:44 +0800>     line Window_Base:31 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Base:32 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Selectable:57 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Selectable:61 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:62 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:62 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     call Window_Command_2:42 Window_Command item_max
<2012-07-07 15:41:44 +0800>     line Window_Command_2:43 Window_Command item_max
<2012-07-07 15:41:44 +0800>   return Window_Command_2:44 Window_Command item_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:62 Enumerable max
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:62 Array each
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:62 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:62 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:62 Array each
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:62 Enumerable max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:63 Window_Selectable row_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:55 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:56 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Base:30 Window_Base line_height
<2012-07-07 15:41:44 +0800>     line Window_Base:31 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Base:32 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Selectable:57 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:68 Enumerable max
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:68 Array each
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:68 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:68 Fixnum <=>
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:68 Array each
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:68 Enumerable max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:69 Window_Selectable contents_height
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Class new
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Bitmap initialize
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Font initialize
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Font name=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Font name=
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Font size=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Font size=
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Font bold=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Font bold=
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Font italic=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Font italic=
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Font outline=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Font outline=
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Font shadow=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Font shadow=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Font initialize
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Bitmap initialize
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Class new
<2012-07-07 15:41:44 +0800>   c-call Window_Base:75 Window contents=
<2012-07-07 15:41:44 +0800> c-return Window_Base:75 Window contents=
<2012-07-07 15:41:44 +0800>   return Window_Base:79 Window_Base create_contents
<2012-07-07 15:41:44 +0800>     line Window_Command_2:145 Window_Command refresh
<2012-07-07 15:41:44 +0800>     call Window_Selectable:439 Window_Selectable refresh
<2012-07-07 15:41:44 +0800>     line Window_Selectable:440 Window_Selectable refresh
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:440 Window contents
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:440 Window contents
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:440 Bitmap clear
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:440 Bitmap clear
<2012-07-07 15:41:44 +0800>     line Window_Selectable:441 Window_Selectable refresh
<2012-07-07 15:41:44 +0800>     call Window_Selectable:409 Window_Selectable draw_all_items
<2012-07-07 15:41:44 +0800>     line Window_Selectable:410 Window_Selectable draw_all_items
<2012-07-07 15:41:44 +0800>     call Window_Command_2:42 Window_Command item_max
<2012-07-07 15:41:44 +0800>     line Window_Command_2:43 Window_Command item_max
<2012-07-07 15:41:44 +0800>   return Window_Command_2:44 Window_Command item_max
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:410 Integer times
<2012-07-07 15:41:44 +0800>     line Window_Selectable:410 Window_Selectable draw_all_items
<2012-07-07 15:41:44 +0800>     call Window_Command_2:150 Window_Command draw_item
<2012-07-07 15:41:44 +0800>     line Window_Command_2:151 Window_Command draw_item
<2012-07-07 15:41:44 +0800>     call Window_Selectable:172 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>     line Window_Selectable:173 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:173 Class new
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:173 Rect initialize
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:173 Rect initialize
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:173 Class new
<2012-07-07 15:41:44 +0800>     line Window_Selectable:174 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>     call Window_Selectable:49 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>     line Window_Selectable:50 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>     line Window_Selectable:50 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:50 Window width
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:50 Window width
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     call Window_Selectable:37 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>     line Window_Selectable:38 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   return Window_Selectable:39 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:37 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>     line Window_Selectable:38 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   return Window_Selectable:39 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   return Window_Selectable:51 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:174 Rect width=
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:174 Rect width=
<2012-07-07 15:41:44 +0800>     line Window_Selectable:175 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>     call Window_Selectable:55 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:56 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Base:30 Window_Base line_height
<2012-07-07 15:41:44 +0800>     line Window_Base:31 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Base:32 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Selectable:57 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:175 Rect height=
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:175 Rect height=
<2012-07-07 15:41:44 +0800>     line Window_Selectable:176 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:176 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>     call Window_Selectable:49 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>     line Window_Selectable:50 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>     line Window_Selectable:50 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:50 Window width
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:50 Window width
<2012-07-07 15:41:44 +0800>     call Window_Base:36 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     line Window_Base:37 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>   return Window_Base:38 Window_Base standard_padding
<2012-07-07 15:41:44 +0800>     call Window_Selectable:37 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>     line Window_Selectable:38 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   return Window_Selectable:39 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:37 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>     line Window_Selectable:38 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   return Window_Selectable:39 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   return Window_Selectable:51 Window_Selectable item_width
<2012-07-07 15:41:44 +0800>     call Window_Selectable:37 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>     line Window_Selectable:38 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   return Window_Selectable:39 Window_Selectable spacing
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:176 Rect x=
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:176 Rect x=
<2012-07-07 15:41:44 +0800>     line Window_Selectable:177 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>     call Window_Selectable:31 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     line Window_Selectable:32 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>   return Window_Selectable:33 Window_Selectable col_max
<2012-07-07 15:41:44 +0800>     call Window_Selectable:55 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     line Window_Selectable:56 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>     call Window_Base:30 Window_Base line_height
<2012-07-07 15:41:44 +0800>     line Window_Base:31 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Base:32 Window_Base line_height
<2012-07-07 15:41:44 +0800>   return Window_Selectable:57 Window_Selectable item_height
<2012-07-07 15:41:44 +0800>   c-call Window_Selectable:177 Rect y=
<2012-07-07 15:41:44 +0800> c-return Window_Selectable:177 Rect y=
<2012-07-07 15:41:44 +0800>     line Window_Selectable:178 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>   return Window_Selectable:179 Window_Selectable item_rect
<2012-07-07 15:41:44 +0800>     line Window_Command_2:152 Window_Command draw_item
<2012-07-07 15:41:44 +0800>   c-call Window_Command_2:152 Class new
<2012-07-07 15:41:44 +0800>     call Comp_TitleCommand:2 Comp_Command initialize
<2012-07-07 15:41:44 +0800>     line Comp_TitleCommand:3 Comp_Command initialize
<2012-07-07 15:41:44 +0800>     line Comp_TitleCommand:4 Comp_Command initialize
<2012-07-07 15:41:44 +0800>     line Comp_TitleCommand:6 Comp_Command initialize
<2012-07-07 15:41:44 +0800>   c-call Comp_TitleCommand:6 Window x
<2012-07-07 15:41:44 +0800> c-return Comp_TitleCommand:6 Window x
<2012-07-07 15:41:44 +0800>   c-call Comp_TitleCommand:6 Rect x
<2012-07-07 15:41:44 +0800> c-return Comp_TitleCommand:6 Rect x
<2012-07-07 15:41:44 +0800>   c-call Comp_TitleCommand:6 Window y
<2012-07-07 15:41:44 +0800> c-return Comp_TitleCommand:6 Window y
<2012-07-07 15:41:44 +0800>   c-call Comp_TitleCommand:6 Rect y
<2012-07-07 15:41:44 +0800> c-return Comp_TitleCommand:6 Rect y
<2012-07-07 15:41:44 +0800>   c-call Comp_TitleCommand:6 Rect width
<2012-07-07 15:41:44 +0800> c-return Comp_TitleCommand:6 Rect width
<2012-07-07 15:41:44 +0800>   c-call Comp_TitleCommand:6 Rect height
<2012-07-07 15:41:44 +0800> c-return Comp_TitleCommand:6 Rect height
<2012-07-07 15:41:44 +0800>   c-call Comp_TitleCommand:6 Window z
<2012-07-07 15:41:44 +0800> c-return Comp_TitleCommand:6 Window z
<2012-07-07 15:41:44 +0800>     call Mouse Comp:94 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:95 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:96 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:97 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:98 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:99 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:100 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     call Mouse Comp:52 CMouse::UICore add
<2012-07-07 15:41:44 +0800>     line Mouse Comp:55 CMouse::UICore add
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:55 Range each
<2012-07-07 15:41:44 +0800>     line Mouse Comp:56 CMouse::UICore add
<2012-07-07 15:41:44 +0800>     line Mouse Comp:57 CMouse::UICore add
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:57 Array insert
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:57 Array insert
<2012-07-07 15:41:44 +0800>     line Mouse Comp:58 CMouse::UICore add
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:55 Range each
<2012-07-07 15:41:44 +0800>   return Mouse Comp:55 CMouse::UICore add
<2012-07-07 15:41:44 +0800>     line Mouse Comp:101 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:102 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:106 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:107 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     line Mouse Comp:108 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:108 Class new
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:108 Sprite initialize
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:108 Sprite initialize
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:108 Class new
<2012-07-07 15:41:44 +0800>     line Mouse Comp:109 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:109 Sprite x=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:109 Sprite x=
<2012-07-07 15:41:44 +0800>     line Mouse Comp:110 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:110 Sprite y=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:110 Sprite y=
<2012-07-07 15:41:44 +0800>     line Mouse Comp:111 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:111 Sprite z=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:111 Sprite z=
<2012-07-07 15:41:44 +0800>     line Mouse Comp:112 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Class new
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Bitmap initialize
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Font initialize
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Font name=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Font name=
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Font size=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Font size=
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Font bold=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Font bold=
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Font italic=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Font italic=
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Font outline=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Font outline=
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Font shadow=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Font shadow=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Font initialize
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Bitmap initialize
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Class new
<2012-07-07 15:41:44 +0800>   c-call Mouse Comp:112 Sprite bitmap=
<2012-07-07 15:41:44 +0800> c-return Mouse Comp:112 Sprite bitmap=
<2012-07-07 15:41:44 +0800>     line Mouse Comp:113 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>     call Comp_TitleCommand:8 Comp_Command onInit
<2012-07-07 15:41:44 +0800>   return Comp_TitleCommand:9 Comp_Command onInit
<2012-07-07 15:41:44 +0800>   return Mouse Comp:114 CMouse::Component initialize
<2012-07-07 15:41:44 +0800>   return Comp_TitleCommand:7 Comp_Command initialize
<2012-07-07 15:41:44 +0800> c-return Window_Command_2:152 Class new
<2012-07-07 15:41:44 +0800>   c-call Window_Command_2:152 Array push
